nephilim heritage	"heritage:nephilim"	Nephilim
bridge of graves	"feat:bridge-of-graves"	Bridge of Graves
draconic familiar	"feat:draconic-familiar"	Draconic Familiar
rend mimicry	"feat:rend-mimicry"	Rend Mimicry
needle in the gods' eyes	"feat:needle-in-the-gods-eyes"	Needle in the Gods' Eyes
sunwrecker	"feat:sunwrecker"	Sunwrecker
call wizardly tools	"feat:call-wizardly-tools"	Call Wizardly Tools
untrained improvisation	"feat:untrained-improvisation"	Untrained Improvisation
watch your back	"feat:watch-your-back-golden-legionnaire"	Watch Your Back (Golden Legionnaire)
resounding blow	"feat:resounding-blow"	Resounding Blow
know the beat	"feat:know-the-beat"	Know the Beat
fit for the role	"feat:fit-for-the-role"	Fit for the Role
anchor stance	"feat:anchor-stance"	Anchor Stance
and will do so once more	"feat:and-will-do-so-once-more"	And Will Do So Once More
bizarre magic	"feat:bizarre-magic"	Bizarre Magic
psychic rapport	"feat:psychic-rapport"	Psychic Rapport
prolific prophet spellcasting	"feat:prolific-prophet-spellcasting"	Prolific Prophet Spellcasting
world-breaking footfall	"feat:world-breaking-footfall"	World-Breaking Footfall
guarded domain	"feat:guarded-domain"	Guarded Domain
order explorer	"feat:order-explorer"	Order Explorer
spike skin	"feat:spike-skin"	Spike Skin
cauterize	"feat:cauterize"	Cauterize
inspired stratagem	"feat:inspired-stratagem"	Inspired Stratagem
fiend eternal	"feat:fiend-eternal"	Fiend Eternal
energized spark	"feat:energized-spark"	Energized Spark
can't you see?	"feat:cant-you-see"	Can't You See?
well-met traveler	"feat:well-met-traveler"	Well-Met Traveler
guiding finish	"feat:guiding-finish"	Guiding Finish
benefactor's strike	"feat:benefactors-strike"	Benefactor's Strike
helt's spelldance	"feat:helts-spelldance"	Helt's Spelldance
shaped contaminant	"feat:shaped-contaminant"	Shaped Contaminant
runic expertise	"feat:runic-expertise"	Runic Expertise
faithful steed	"feat:faithful-steed"	Faithful Steed
dazzling block	"feat:dazzling-block"	Dazzling Block
perfect ki grandmaster	"feat:perfect-ki-grandmaster"	Perfect Ki Grandmaster
giant slayer	"feat:giant-slayer"	Giant Slayer
watch this!	"feat:watch-this"	Watch This!
suplex	"feat:suplex"	Suplex
instant opening	"feat:instant-opening"	Instant Opening
armored exercise	"feat:armored-exercise"	Armored Exercise
legendary negotiation	"feat:legendary-negotiation"	Legendary Negotiation
improved command undead	"feat:improved-command-undead"	Improved Command Undead
stasian smash	"feat:stasian-smash"	Stasian Smash
repel assault	"feat:repel-assault"	Repel Assault
unassuming dedication	"feat:unassuming-dedication"	Unassuming Dedication
pistol twirl	"feat:pistol-twirl"	Pistol Twirl
all this has happened before	"feat:all-this-has-happened-before"	All This Has Happened Before
adventurous outfitter	"feat:adventurous-outfitter"	Adventurous Outfitter
bashing charge	"feat:bashing-charge"	Bashing Charge
cantrip expansion	"feat:cantrip-expansion"	Cantrip Expansion
triggerbrand blitz	"feat:triggerbrand-blitz"	Triggerbrand Blitz
running tackle	"feat:running-tackle"	Running Tackle
prairie rider	"feat:prairie-rider"	Prairie Rider
protective pose	"feat:protective-pose"	Protective Pose
native waters	"feat:native-waters"	Native Waters
guard's fury	"feat:guards-fury"	Guard's Fury
ghosts in the storm	"feat:ghosts-in-the-storm"	Ghosts in the Storm
confusing commands	"feat:confusing-commands"	Confusing Commands
great tengu form	"feat:great-tengu-form"	Great Tengu Form
writhing runelord weapon	"feat:writhing-runelord-weapon"	Writhing Runelord Weapon
pierce the light	"feat:pierce-the-light"	Pierce the Light
such a disgrace!	"feat:such-a-disgrace"	Such a Disgrace!
catchy tune	"feat:catchy-tune"	Catchy Tune
shadow pact	"feat:shadow-pact"	Shadow Pact
telluric power	"feat:telluric-power"	Telluric Power
charged creation	"feat:charged-creation"	Charged Creation
mutable familiar	"feat:mutable-familiar"	Mutable Familiar
bestiary scholar	"feat:bestiary-scholar"	Bestiary Scholar
mask of the 12th step	"feat:mask-of-the-12th-step"	Mask of the 12th Step
celestial rebirth	"feat:celestial-rebirth"	Celestial Rebirth
mass delusion	"feat:mass-delusion"	Mass Delusion
speak with bats	"feat:speak-with-bats"	Speak with Bats
stone guardian	"feat:stone-guardian"	Stone Guardian
shackles of law	"feat:shackles-of-law"	Shackles of Law
whirlwind strike	"feat:whirlwind-strike"	Whirlwind Strike
dangle	"feat:dangle"	Dangle
grudging compliment	"feat:grudging-compliment"	Grudging Compliment
clan lore	"feat:clan-lore"	Clan Lore
master magus spellcasting	"feat:master-magus-spellcasting"	Master Magus Spellcasting
efreeti magic	"feat:efreeti-magic"	Efreeti Magic
no evidence	"feat:no-evidence"	No Evidence
animal senses	"feat:animal-senses"	Animal Senses
saber teeth	"feat:saber-teeth"	Saber Teeth
azarketi weapon aptitude	"feat:azarketi-weapon-aptitude"	Azarketi Weapon Aptitude
poison weapon	"feat:poison-weapon"	Poison Weapon
energy beam	"feat:energy-beam"	Energy Beam
channel rot	"feat:channel-rot"	Channel Rot
wolf stance	"feat:wolf-stance"	Wolf Stance
beasts of slumbering steel	"feat:beasts-of-slumbering-steel"	Beasts of Slumbering Steel
kin hunter	"feat:kin-hunter"	Kin Hunter
arboreal conversationalist	"feat:arboreal-conversationalist"	Arboreal Conversationalist
earworm	"feat:earworm"	Earworm
implement's flight	"feat:implements-flight"	Implement's Flight
galvanize spell	"feat:galvanize-spell"	Galvanize Spell
miraculous intervention	"feat:miraculous-intervention"	Miraculous Intervention
rallying banner	"feat:rallying-banner"	Rallying Banner
lesser augmentation	"feat:lesser-augmentation"	Lesser Augmentation
helpful poppet	"feat:helpful-poppet"	Helpful Poppet
forgotten presence	"feat:forgotten-presence"	Forgotten Presence
protect ally	"feat:protect-ally"	Protect Ally
quick repair	"feat:quick-repair"	Quick Repair
roll with it	"feat:roll-with-it"	Roll with It
harrow casting	"feat:harrow-casting"	Harrow Casting
preserve the horde	"feat:preserve-the-horde"	Preserve the Horde
bizarre transformation	"feat:bizarre-transformation"	Bizarre Transformation
breath of hungry death	"feat:breath-of-hungry-death"	Breath of Hungry Death
syu tak-nwa's deadly hair	"feat:syu-tak-nwas-deadly-hair"	Syu Tak-nwa's Deadly Hair
magic sense	"feat:magic-sense"	Magic Sense
hematocritical	"feat:hematocritical"	Hematocritical
incredible mount	"feat:incredible-mount"	Incredible Mount
silent sting	"feat:silent-sting"	Silent Sting
wrath of the hold	"feat:wrath-of-the-hold"	Wrath of the Hold
wave the flag	"feat:wave-the-flag"	Wave the Flag
deadly poison weapon	"feat:deadly-poison-weapon"	Deadly Poison Weapon
core attunement	"feat:core-attunement"	Core Attunement
juggle	"feat:juggle"	Juggle
the shattered mountain weeps	"feat:the-shattered-mountain-weeps"	The Shattered Mountain Weeps
sly striker	"feat:sly-striker"	Sly Striker
primal aegis	"feat:primal-aegis"	Primal Aegis
inspiring resilience	"feat:inspiring-resilience"	Inspiring Resilience
pressure change	"feat:pressure-change"	Pressure Change
wavetouched paragon	"feat:wavetouched-paragon"	Wavetouched Paragon
felling strike	"feat:felling-strike"	Felling Strike
lead the pack	"feat:lead-the-pack"	Lead the Pack
avenging runelord dedication	"feat:avenging-runelord-dedication"	Avenging Runelord Dedication
shadow's web	"feat:shadows-web"	Shadow's Web
werecreature dedication	"feat:werecreature-dedication"	Werecreature Dedication
order training	"feat:order-training"	Order Training
unexpected shift	"feat:unexpected-shift"	Unexpected Shift
invigorating elixir	"feat:invigorating-elixir"	Invigorating Elixir
chain of words	"feat:chain-of-words"	Chain of Words
signature synergy	"feat:signature-synergy"	Signature Synergy
pinning fire	"feat:pinning-fire"	Pinning Fire
mauler dedication	"feat:mauler-dedication"	Mauler Dedication
special sentinel technique	"feat:special-sentinel-technique"	Special Sentinel Technique
intuitive cooperation	"feat:intuitive-cooperation"	Intuitive Cooperation
alloy flesh and steel	"feat:alloy-flesh-and-steel"	Alloy Flesh and Steel
cobra stance	"feat:cobra-stance"	Cobra Stance
bouncy goblin	"feat:bouncy-goblin"	Bouncy Goblin
tengu weapon familiarity	"feat:tengu-weapon-familiarity"	Tengu Weapon Familiarity
terraforming trickery	"feat:terraforming-trickery"	Terraforming Trickery
toughness	"feat:toughness"	Toughness
redirect elements	"feat:redirect-elements"	Redirect Elements
bloodline conduit	"feat:bloodline-conduit"	Bloodline Conduit
megafauna veterinarian	"feat:megafauna-veterinarian"	Megafauna Veterinarian
frightening appearance	"feat:frightening-appearance"	Frightening Appearance
stone passage	"feat:stone-passage"	Stone Passage
forlorn	"feat:forlorn"	Forlorn
hidden thorn	"feat:hidden-thorn"	Hidden Thorn
unkillable	"feat:unkillable"	Unkillable
shared prey	"feat:shared-prey"	Shared Prey
delay trap	"feat:delay-trap"	Delay Trap
peculiar anatomy	"feat:peculiar-anatomy"	Peculiar Anatomy
culvert's collapse	"feat:culverts-collapse"	Culvert's Collapse
courageous assault	"feat:courageous-assault"	Courageous Assault
rejuvenation	"feat:rejuvenation"	Rejuvenation
prayer attack	"feat:prayer-attack"	Prayer Attack
magical scholastics	"feat:magical-scholastics"	Magical Scholastics
splendid companion	"feat:splendid-companion"	Splendid Companion
basic sorcerer spellcasting	"feat:basic-sorcerer-spellcasting"	Basic Sorcerer Spellcasting
minotaur lore	"feat:minotaur-lore"	Minotaur Lore
sickening bite	"feat:sickening-bite"	Sickening Bite
masterful companion	"feat:masterful-companion"	Masterful Companion
fear no law, fear no one	"feat:fear-no-law-fear-no-one"	Fear No Law, Fear No One
mischievous tail	"feat:mischievous-tail"	Mischievous Tail
mobile magical combat	"feat:mobile-magical-combat"	Mobile Magical Combat
triple time	"feat:triple-time"	Triple Time
twirl through	"feat:twirl-through"	Twirl Through
legendary shot	"feat:legendary-shot"	Legendary Shot
shoki's argument	"feat:shokis-argument"	Shoki's Argument
multilingual cipher	"feat:multilingual-cipher"	Multilingual Cipher
opportune trickster	"feat:opportune-trickster"	Opportune Trickster
bone caller	"feat:bone-caller"	Bone Caller
energy blessed	"feat:energy-blessed"	Energy Blessed
basic spellcasting	"feat:basic-spellcasting"	Basic Spellcasting
charming liar	"feat:charming-liar"	Charming Liar
battle assessment	"feat:battle-assessment"	Battle Assessment
shattering strike	"feat:shattering-strike-weapon-improviser"	Shattering Strike (Weapon Improviser)
noble bloom	"feat:noble-bloom"	Noble Bloom
shift the little ones	"feat:shift-the-little-ones"	Shift the Little Ones
soul well	"feat:soul-well"	Soul Well
trespass teleportation	"feat:trespass-teleportation"	Trespass Teleportation
defensive needles	"feat:defensive-needles"	Defensive Needles
concealing legerdemain	"feat:concealing-legerdemain"	Concealing Legerdemain
brilliant flash	"feat:brilliant-flash"	Brilliant Flash
divine apex	"feat:divine-apex"	Divine Apex
achaekek's grip	"feat:achaekeks-grip"	Achaekek's Grip
soothing vials	"feat:soothing-vials"	Soothing Vials
masterful warden	"feat:masterful-warden"	Masterful Warden
counterclockwork focus	"feat:counterclockwork-focus"	Counterclockwork Focus
adrenaline rush	"feat:adrenaline-rush"	Adrenaline Rush
heightened captivation	"feat:heightened-captivation"	Heightened Captivation
define the canvas	"feat:define-the-canvas"	Define the Canvas
golden erinys stance	"feat:golden-erinys-stance"	Golden Erinys Stance
aldori swordlord	"feat:aldori-swordlord"	Aldori Swordlord
subtle shift	"feat:subtle-shift"	Subtle Shift
megaton strike	"feat:megaton-strike"	Megaton Strike
pyrophilic recovery	"feat:pyrophilic-recovery"	Pyrophilic Recovery
lore seeker	"feat:lore-seeker"	Lore Seeker
far lobber	"feat:far-lobber"	Far Lobber
agile grace	"feat:agile-grace"	Agile Grace
death dive	"feat:death-dive"	Death Dive
spark fist	"feat:spark-fist"	Spark Fist
nocturnal tripkee	"feat:nocturnal-tripkee"	Nocturnal Tripkee
familiar's resolve	"feat:familiars-resolve"	Familiar's Resolve
rushing goat stance	"feat:rushing-goat-stance"	Rushing Goat Stance
ley line conduit	"feat:ley-line-conduit"	Ley Line Conduit
wild lights	"feat:wild-lights"	Wild Lights
distracting shot	"feat:distracting-shot"	Distracting Shot
endemic herbs	"feat:endemic-herbs"	Endemic Herbs
waxed feathers	"feat:waxed-feathers"	Waxed Feathers
greater than the sum	"feat:greater-than-the-sum"	Greater than the Sum
mineral deposits	"feat:mineral-deposits"	Mineral Deposits
armor proficiency	"feat:armor-proficiency"	Armor Proficiency
snare expert	"feat:snare-expert"	Snare Expert
astral blink	"feat:astral-blink"	Astral Blink
elemental fist	"feat:elemental-fist"	Elemental Fist
wilderness spotter	"feat:wilderness-spotter"	Wilderness Spotter
emphatic emissary	"feat:emphatic-emissary"	Emphatic Emissary
opportunistic grapple	"feat:opportunistic-grapple"	Opportunistic Grapple
pactbound dedication	"feat:pactbound-dedication"	Pactbound Dedication
reach spell	"feat:reach-spell"	Reach Spell
ambush bladderwort	"feat:ambush-bladderwort"	Ambush Bladderwort
silence the profane	"feat:silence-the-profane"	Silence the Profane
agile maneuvers	"feat:agile-maneuvers"	Agile Maneuvers
eerie traces	"feat:eerie-traces"	Eerie Traces
hypnotic lure	"feat:hypnotic-lure"	Hypnotic Lure
breath unleashed	"feat:breath-unleashed"	Breath Unleashed
bolstered recovery	"feat:bolstered-recovery"	Bolstered Recovery
insulated poppet	"feat:insulated-poppet"	Insulated Poppet
fulu familiar	"feat:fulu-familiar"	Fulu Familiar
long-distance taunt	"feat:long-distance-taunt"	Long-Distance Taunt
kijimuna whistle	"feat:kijimuna-whistle"	Kijimuna Whistle
more real than real	"feat:more-real-than-real"	More Real Than Real
unbelievable interception	"feat:unbelievable-interception"	Unbelievable Interception
crimson oath devotion	"feat:crimson-oath-devotion"	Crimson Oath Devotion
reflective defense	"feat:reflective-defense"	Reflective Defense
solidarity	"feat:solidarity"	Solidarity
glider form	"feat:glider-form"	Glider Form
duelist's edge	"feat:duelists-edge"	Duelist's Edge
phalanx breaker	"feat:phalanx-breaker"	Phalanx Breaker
sudden leap	"feat:sudden-leap"	Sudden Leap
wandering oasis	"feat:wandering-oasis"	Wandering Oasis
sleek reposition	"feat:sleek-reposition"	Sleek Reposition
risky reload	"feat:risky-reload"	Risky Reload
stasian charge	"feat:stasian-charge"	Stasian Charge
conductive sphere	"feat:conductive-sphere"	Conductive Sphere
spine stabber	"feat:spine-stabber"	Spine Stabber
consult celestial advisor	"feat:consult-celestial-advisor"	Consult Celestial Advisor
final shot knows the way	"feat:final-shot-knows-the-way"	Final Shot Knows the Way
twitchy	"feat:twitchy"	Twitchy
imperial dragon potion	"feat:imperial-dragon-potion"	Imperial Dragon Potion
additional lore	"feat:additional-lore"	Additional Lore
viking shieldbearer	"feat:viking-shieldbearer"	Viking Shieldbearer
reconstruct the scene	"feat:reconstruct-the-scene"	Reconstruct the Scene
branding spell	"feat:branding-spell"	Branding Spell
deduce habits	"feat:deduce-habits"	Deduce Habits
shadow master	"feat:shadow-master"	Shadow Master
pilgrim's token	"feat:pilgrims-token"	Pilgrim's Token
larger than life	"feat:larger-than-life-guardian"	Larger Than Life (Guardian)
basic kata	"feat:basic-kata"	Basic Kata
contingency leap	"feat:contingency-leap"	Contingency Leap
push back the dead!	"feat:push-back-the-dead"	Push Back the Dead!
never tire	"feat:never-tire"	Never Tire
raise menhir	"feat:raise-menhir"	Raise Menhir
blessed blood	"feat:blessed-blood-nephilim"	Blessed Blood (Nephilim)
perfect finisher	"feat:perfect-finisher"	Perfect Finisher
contract negotiator	"feat:contract-negotiator"	Contract Negotiator
boarding party	"feat:boarding-party"	Boarding Party
spellshot dedication	"feat:spellshot-dedication"	Spellshot Dedication
invisible hand	"feat:invisible-hand"	Invisible Hand
advanced thoughtform	"feat:advanced-thoughtform"	Advanced Thoughtform
pact of huldra's renewal	"feat:pact-of-huldras-renewal"	Pact of Huldra's Renewal
mask of pain	"feat:mask-of-pain"	Mask of Pain
break the cycle	"feat:break-the-cycle"	Break the Cycle
hefty hauler	"feat:hefty-hauler"	Hefty Hauler
holy flower	"feat:holy-flower"	Holy Flower
overpowering charge	"feat:overpowering-charge"	Overpowering Charge
divide and conquer	"feat:divide-and-conquer"	Divide and Conquer
unburdened iron	"feat:unburdened-iron"	Unburdened Iron
studious adept	"feat:studious-adept"	Studious Adept
peafowl stance	"feat:peafowl-stance"	Peafowl Stance
living lexicon	"feat:living-lexicon"	Living Lexicon
ghostly grasp	"feat:ghostly-grasp-deviant"	Ghostly Grasp (Deviant)
grievous blow	"feat:grievous-blow"	Grievous Blow
kinetic pinnacle	"feat:kinetic-pinnacle"	Kinetic Pinnacle
shadow illusion	"feat:shadow-illusion"	Shadow Illusion
basic modification	"feat:basic-modification"	Basic Modification
muscle mimicry	"feat:muscle-mimicry"	Muscle Mimicry
elegant buckler	"feat:elegant-buckler"	Elegant Buckler
blazing wave	"feat:blazing-wave"	Blazing Wave
signature spell expansion	"feat:signature-spell-expansion-psychic"	Signature Spell Expansion (Psychic)
multitalented	"feat:multitalented"	Multitalented
sly disarm	"feat:sly-disarm"	Sly Disarm
sea glass guardians	"feat:sea-glass-guardians"	Sea Glass Guardians
cavalier's banner	"feat:cavaliers-banner"	Cavalier's Banner
see the unseen	"feat:see-the-unseen"	See the Unseen
ongoing strategy	"feat:ongoing-strategy"	Ongoing Strategy
stepping stones	"feat:stepping-stones"	Stepping Stones
worm sense	"feat:worm-sense"	Worm Sense
pride in arms	"feat:pride-in-arms"	Pride in Arms
squawk!	"feat:squawk"	Squawk!
automaton lore	"feat:automaton-lore"	Automaton Lore
unfettered growth	"feat:unfettered-growth"	Unfettered Growth
pack performance	"feat:pack-performance"	Pack Performance
anthemic performance	"feat:anthemic-performance"	Anthemic Performance
beastkin resilience	"feat:beastkin-resilience"	Beastkin Resilience
alchemist dedication	"feat:alchemist-dedication"	Alchemist Dedication
living for the applause	"feat:living-for-the-applause"	Living for the Applause
wild winds initiate	"feat:wild-winds-initiate"	Wild Winds Initiate
wounded rage	"feat:wounded-rage"	Wounded Rage
merfolk lore	"feat:merfolk-lore"	Merfolk Lore
spiritual flurry	"feat:spiritual-flurry"	Spiritual Flurry
crossblooded evolution	"feat:crossblooded-evolution"	Crossblooded Evolution
dragonscaled lore	"feat:dragonscaled-lore"	Dragonscaled Lore
mountain's stoutness	"feat:mountains-stoutness"	Mountain's Stoutness
second sting	"feat:second-sting"	Second Sting
janatimo's lessons	"feat:janatimos-lessons"	Janatimo's Lessons
text decoder	"feat:text-decoder"	Text Decoder
hammer quake	"feat:hammer-quake"	Hammer Quake
stoney deflection	"feat:stoney-deflection"	Stoney Deflection
the hallowed dead	"feat:the-hallowed-dead"	The Hallowed Dead
web weaver	"feat:web-weaver"	Web Weaver
grove-harbored	"feat:grove-harbored"	Grove-Harbored
summon ensemble	"feat:summon-ensemble"	Summon Ensemble
shielding formation	"feat:shielding-formation"	Shielding Formation
dwarven weapon familiarity	"feat:dwarven-weapon-familiarity"	Dwarven Weapon Familiarity
mist child	"feat:mist-child"	Mist Child
fiendish form	"feat:fiendish-form"	Fiendish Form
ka stone ritual	"feat:ka-stone-ritual"	Ka Stone Ritual
investigator dedication	"feat:investigator-dedication"	Investigator Dedication
scrounger dedication	"feat:scrounger-dedication"	Scrounger Dedication
oni rampage	"feat:oni-rampage"	Oni Rampage
ceremony of the evened hand	"feat:ceremony-of-the-evened-hand"	Ceremony of the Evened Hand
profane bargain	"feat:profane-bargain"	Profane Bargain
kineticist dedication	"feat:kineticist-dedication"	Kineticist Dedication
spell trickster dedication	"feat:spell-trickster-dedication"	Spell Trickster Dedication
fluid contortionist	"feat:fluid-contortionist"	Fluid Contortionist
transcend the azimuth	"feat:transcend-the-azimuth"	Transcend the Azimuth
stonebane	"feat:stonebane"	Stonebane
calaca's showstopper	"feat:calacas-showstopper"	Calaca's Showstopper
improved twin riposte	"feat:improved-twin-riposte-ranger"	Improved Twin Riposte (Ranger)
hierophant's power	"feat:hierophants-power"	Hierophant's Power
deific font	"feat:deific-font"	Deific Font
tempest gaze	"feat:tempest-gaze"	Tempest Gaze
methodical debilitations	"feat:methodical-debilitations"	Methodical Debilitations
beastmaster's trance	"feat:beastmasters-trance"	Beastmaster's Trance
aberration kinship	"feat:aberration-kinship"	Aberration Kinship
advanced breakthrough	"feat:advanced-breakthrough"	Advanced Breakthrough
steadfast grip	"feat:steadfast-grip"	Steadfast Grip
spirit walk	"feat:spirit-walk"	Spirit Walk
greater debilitating bomb	"feat:greater-debilitating-bomb"	Greater Debilitating Bomb
animalistic resistance	"feat:animalistic-resistance"	Animalistic Resistance
steady balance	"feat:steady-balance"	Steady Balance
stone blood	"feat:stone-blood"	Stone Blood
game hunter dedication	"feat:game-hunter-dedication"	Game Hunter Dedication
primal howl	"feat:primal-howl"	Primal Howl
crossbow ace	"feat:crossbow-ace"	Crossbow Ace
flexible spellcaster dedication	"feat:flexible-spellcaster-dedication"	Flexible Spellcaster Dedication
murderous thorns	"feat:murderous-thorns"	Murderous Thorns
read shibboleths	"feat:read-shibboleths"	Read Shibboleths
as a thousand soldiers	"feat:as-a-thousand-soldiers"	As a Thousand Soldiers
devastating weaponry	"feat:devastating-weaponry"	Devastating Weaponry
haft beatdown	"feat:haft-beatdown"	Haft Beatdown
fearsome fangs	"feat:fearsome-fangs"	Fearsome Fangs
cunning trickster mask	"feat:cunning-trickster-mask"	Cunning Trickster Mask
foretell harm	"feat:foretell-harm"	Foretell Harm
blood frenzy	"feat:blood-frenzy"	Blood Frenzy
tripkee weapon familiarity	"feat:tripkee-weapon-familiarity"	Tripkee Weapon Familiarity
vicious critique	"feat:vicious-critique"	Vicious Critique
axuma's awakening	"feat:axumas-awakening"	Axuma's Awakening
amplifying touch	"feat:amplifying-touch"	Amplifying Touch
lesson of the broken wing	"feat:lesson-of-the-broken-wing"	Lesson of the Broken Wing
clever gambit	"feat:clever-gambit"	Clever Gambit
sonic strafe	"feat:sonic-strafe"	Sonic Strafe
cheat death	"feat:cheat-death"	Cheat Death
vigorous health	"feat:vigorous-health"	Vigorous Health
general training	"feat:general-training"	General Training
storming gaze	"feat:storming-gaze"	Storming Gaze
no stranger to death	"feat:no-stranger-to-death"	No Stranger to Death
extended kinesis	"feat:extended-kinesis"	Extended Kinesis
see you in hell	"feat:see-you-in-hell"	See You in Hell
faultspawn	"feat:faultspawn"	Faultspawn
strident command	"feat:strident-command"	Strident Command
felicitous riposte	"feat:felicitous-riposte"	Felicitous Riposte
public execution	"feat:public-execution"	Public Execution
plum deluge	"feat:plum-deluge"	Plum Deluge
master qi spells	"feat:master-qi-spells"	Master Qi Spells
adaptive adept	"feat:adaptive-adept"	Adaptive Adept
basic arcana	"feat:basic-arcana"	Basic Arcana
patron's claim	"feat:patrons-claim"	Patron's Claim
expert kinetic control	"feat:expert-kinetic-control"	Expert Kinetic Control
realm strider	"feat:realm-strider"	Realm Strider
rolling white bottle form	"feat:rolling-white-bottle-form"	Rolling White Bottle Form
benefactor's resistance	"feat:benefactors-resistance"	Benefactor's Resistance
mighty dragon shape	"feat:mighty-dragon-shape"	Mighty Dragon Shape
steal the sky	"feat:steal-the-sky"	Steal the Sky
collapse armor	"feat:collapse-armor"	Collapse Armor
you seem somewhat familiar	"feat:you-seem-somewhat-familiar"	You Seem Somewhat Familiar
incredible aim	"feat:incredible-aim"	Incredible Aim
ghost hunter	"feat:ghost-hunter"	Ghost Hunter
impose order	"feat:impose-order"	Impose Order
threatening pursuit	"feat:threatening-pursuit"	Threatening Pursuit
disorienting venom	"feat:disorienting-venom"	Disorienting Venom
targeting finisher	"feat:targeting-finisher"	Targeting Finisher
sense the unseen	"feat:sense-the-unseen"	Sense the Unseen
emblazon divinity	"feat:emblazon-divinity"	Emblazon Divinity
snare crafting	"feat:snare-crafting"	Snare Crafting
show-off	"feat:show-off"	Show-Off
eclectic sword mastery	"feat:eclectic-sword-mastery"	Eclectic Sword Mastery
protective subroutine	"feat:protective-subroutine"	Protective Subroutine
magical adaptation	"feat:magical-adaptation"	Magical Adaptation
advanced elemental spell	"feat:advanced-elemental-spell"	Advanced Elemental Spell
gadget specialist	"feat:gadget-specialist"	Gadget Specialist
crowd mastery	"feat:crowd-mastery"	Crowd Mastery
split shot	"feat:split-shot"	Split Shot
tidal wave	"feat:tidal-wave"	Tidal Wave
versatile blasts	"feat:versatile-blasts"	Versatile Blasts
scintillating spell	"feat:scintillating-spell"	Scintillating Spell
spell shroud	"feat:spell-shroud"	Spell Shroud
larcenous tail	"feat:larcenous-tail"	Larcenous Tail
orichalcum bond	"feat:orichalcum-bond"	Orichalcum Bond
deity's protection	"feat:deitys-protection"	Deity's Protection
falcon swoop	"feat:falcon-swoop"	Falcon Swoop
ritual researcher	"feat:ritual-researcher"	Ritual Researcher
guided hover	"feat:guided-hover"	Guided Hover
finishing follow-through	"feat:finishing-follow-through"	Finishing Follow-Through
channel the godmind	"feat:channel-the-godmind"	Channel the Godmind
brutal beating	"feat:brutal-beating"	Brutal Beating
keep up the good fight	"feat:keep-up-the-good-fight"	Keep Up the Good Fight
soulsight	"feat:soulsight-bard"	Soulsight (Bard)
rapid recharge	"feat:rapid-recharge"	Rapid Recharge
infused with belkzen's might	"feat:infused-with-belkzens-might"	Infused with Belkzen's Might
echoing violence	"feat:echoing-violence"	Echoing Violence
spirit spells	"feat:spirit-spells"	Spirit Spells
tip the scales	"feat:tip-the-scales"	Tip the Scales
manifold edge	"feat:manifold-edge"	Manifold Edge
shadowpiercing charge	"feat:shadowpiercing-charge"	Shadowpiercing Charge
deadly simplicity	"feat:deadly-simplicity"	Deadly Simplicity
flashy roll	"feat:flashy-roll"	Flashy Roll
jotun's restoration	"feat:jotuns-restoration"	Jotun's Restoration
beast lord dedication	"feat:beast-lord-dedication"	Beast Lord Dedication
lightless sight	"feat:lightless-sight"	Lightless Sight
read the stars	"feat:read-the-stars"	Read the Stars
fortify shield	"feat:fortify-shield"	Fortify Shield
expanded swarm	"feat:expanded-swarm"	Expanded Swarm
domain spirit	"feat:domain-spirit"	Domain Spirit
charmed life	"feat:charmed-life"	Charmed Life
final spite	"feat:final-spite"	Final Spite
gladiator dedication	"feat:gladiator-dedication"	Gladiator Dedication
firesight	"feat:firesight"	Firesight
quick shape	"feat:quick-shape"	Quick Shape
legendary monster	"feat:legendary-monster"	Legendary Monster
hungry goblin	"feat:hungry-goblin"	Hungry Goblin
fiend slayer	"feat:fiend-slayer"	Fiend Slayer
greater bloodline	"feat:greater-bloodline"	Greater Bloodline
simple crystal magic	"feat:simple-crystal-magic"	Simple Crystal Magic
walk through the conflagration	"feat:walk-through-the-conflagration"	Walk Through the Conflagration
arcane tattoos	"feat:arcane-tattoos"	Arcane Tattoos
gorilla stance	"feat:gorilla-stance"	Gorilla Stance
devil you know	"feat:devil-you-know"	Devil You Know
resurrectionist	"feat:resurrectionist"	Resurrectionist
tempest cloud's speed	"feat:tempest-clouds-speed"	Tempest Cloud's Speed
winter cat senses	"feat:winter-cat-senses"	Winter Cat Senses
grand metamorphosis	"feat:grand-metamorphosis"	Grand Metamorphosis
shattered sacrament	"feat:shattered-sacrament"	Shattered Sacrament
lie to me	"feat:lie-to-me"	Lie to Me
arcane breadth	"feat:arcane-breadth"	Arcane Breadth
courteous comeback	"feat:courteous-comeback"	Courteous Comeback
overwhelming breath	"feat:overwhelming-breath"	Overwhelming Breath
wrath against the divine	"feat:wrath-against-the-divine"	Wrath Against the Divine
reinforce eidolon	"feat:reinforce-eidolon"	Reinforce Eidolon
unbound freedom	"feat:unbound-freedom"	Unbound Freedom
tactile magic feedback	"feat:tactile-magic-feedback"	Tactile Magic Feedback
hush	"feat:hush"	Hush
coral lifeline	"feat:coral-lifeline"	Coral Lifeline
sleeper hold	"feat:sleeper-hold"	Sleeper Hold
precise hooks	"feat:precise-hooks"	Precise Hooks
innocuous	"feat:innocuous"	Innocuous
brandishing draw	"feat:brandishing-draw"	Brandishing Draw
quick positioning	"feat:quick-positioning"	Quick Positioning
