xenometric android heritage	"heritage:xenometric-android"	Xenometric Android
plant nourishment	"feature:plant-nourishment-hardor"	Plant Nourishment (Hardor)
wakeful	"feature:wakeful"	Wakeful
land on your feet	"feature:land-on-your-feet"	Land on Your Feet
climbing prowess	"feature:climbing-prowess"	Climbing Prowess
change shape	"feature:change-shape"	Change Shape
unshakable juggernaut	"feature:unshakable-juggernaut"	Unshakable Juggernaut
gap influenced	"feature:gap-influenced"	Gap Influenced
stellar senses	"feature:stellar-senses"	Stellar Senses
ghost	"feature:ghost"	Ghost
warped infinities	"feature:warped-infinities"	Warped Infinities
resilient soul	"feature:resilient-soul"	Resilient Soul
analyst	"feature:analyst"	Analyst
quantum will	"feature:quantum-will"	Quantum Will
urban operator	"feature:urban-operator"	Urban Operator
close quarters	"feature:close-quarters"	Close Quarters
legendary armor	"feature:legendary-armor"	Legendary Armor
connection	"feature:connection"	Connection
through desperate times	"feature:through-desperate-times"	Through Desperate Times
light armor expertise	"feature:light-armor-expertise"	Light Armor Expertise
expert spellcaster	"feature:expert-spellcaster"	Expert Spellcaster
walking armory	"feature:walking-armory"	Walking Armory
operative resilience	"feature:operative-resilience"	Operative Resilience
inscrutable	"feature:inscrutable"	Inscrutable
tactician	"feature:tactician"	Tactician
perfect harmony	"feature:perfect-harmony"	Perfect Harmony
leader's confidence	"feature:leaders-confidence"	Leader's Confidence
adaptive talent	"feature:adaptive-talent"	Adaptive Talent
elemental	"feature:elemental"	Elemental
weapon expertise	"feature:weapon-expertise"	Weapon Expertise
stellar resilience	"feature:stellar-resilience"	Stellar Resilience
weapon specialization	"feature:weapon-specialization"	Weapon Specialization
greater resolve	"feature:greater-resolve"	Greater Resolve
initial epiphany	"feature:initial-epiphany"	Initial Epiphany
operative expertise	"feature:operative-expertise"	Operative Expertise
soldier expertise	"feature:soldier-expertise"	Soldier Expertise
core memories	"feature:core-memories"	Core Memories
striker	"feature:striker"	Striker
erudite warrior	"feature:erudite-warrior"	Erudite Warrior
leadership style	"feature:leadership-style"	Leadership Style
tactical barrage	"feature:tactical-barrage"	Tactical Barrage
infosphere director	"feature:infosphere-director"	Infosphere Director
armor mastery	"feature:armor-mastery"	Armor Mastery
skirmisher	"feature:skirmisher"	Skirmisher
mystic spellcasting	"feature:mystic-spellcasting"	Mystic Spellcasting
solarian expertise	"feature:solarian-expertise"	Solarian Expertise
from the shadows	"feature:from-the-shadows"	From the Shadows
stellar partition	"feature:stellar-partition"	Stellar Partition
hidden agenda	"feature:hidden-agenda"	Hidden Agenda
specialized skill set	"feature:specialized-skill-set"	Specialized Skill Set
stellar paragon	"feature:stellar-paragon"	Stellar Paragon
greater weapon specialization	"feature:greater-weapon-specialization"	Greater Weapon Specialization
legendary improvisation	"feature:legendary-improvisation"	Legendary Improvisation
quantum thesis	"feature:quantum-thesis"	Quantum Thesis
sniper	"feature:sniper"	Sniper
quantum defenses	"feature:quantum-defenses"	Quantum Defenses
solar weapon expertise	"feature:solar-weapon-expertise"	Solar Weapon Expertise
light armor mastery	"feature:light-armor-mastery"	Light Armor Mastery
resolve	"feature:resolve"	Resolve
isolated spell matrix	"feature:isolated-spell-matrix"	Isolated Spell Matrix
wise to the game	"feature:wise-to-the-game"	Wise to the Game
in the spotlight	"feature:in-the-spotlight"	In the Spotlight
soldier fighting style	"feature:soldier-fighting-style"	Soldier Fighting Style
galaxy renowned	"feature:galaxy-renowned"	Galaxy Renowned
armor storm	"feature:armor-storm"	Armor Storm
paradox	"feature:paradox"	Paradox
perception expertise	"feature:perception-expertise"	Perception Expertise
weapon mastery	"feature:weapon-mastery"	Weapon Mastery
bombard	"feature:bombard"	Bombard
healing	"feature:healing"	Healing
reflex expertise	"feature:reflex-expertise"	Reflex Expertise
sharpshooter	"feature:sharpshooter"	Sharpshooter
master spellcaster	"feature:master-spellcaster"	Master Spellcaster
magical fortitude	"feature:magical-fortitude"	Magical Fortitude
tangible object	"feature:tangible-object"	Tangible Object
operative's edge	"feature:operatives-edge"	Operative's Edge
envoy expertise	"feature:envoy-expertise"	Envoy Expertise
tough as nails	"feature:tough-as-nails"	Tough as Nails
anchor	"feature:anchor"	Anchor
gravitas	"feature:gravitas"	Gravitas
silver tongue	"feature:silver-tongue"	Silver Tongue
action hero	"feature:action-hero"	Action Hero
soldier weapon expert	"feature:soldier-weapon-expert"	Soldier Weapon Expert
incredible senses	"feature:incredible-senses"	Incredible Senses
solarian weapon mastery	"feature:solarian-weapon-mastery"	Solarian Weapon Mastery
transcendence	"feature:transcendence"	Transcendence
suppressing fire	"feature:suppressing-fire"	Suppressing Fire
reflex mastery	"feature:reflex-mastery"	Reflex Mastery
precog	"feature:precog"	Precog
legendary gunner	"feature:legendary-gunner"	Legendary Gunner
envoy directives	"feature:envoy-directives"	Envoy Directives
akashic	"feature:akashic"	Akashic
focused	"feature:focused"	Focused
witchwarper spellcasting	"feature:witchwarper-spellcasting"	Witchwarper Spellcasting
anomaly	"feature:anomaly"	Anomaly
vitality network	"feature:vitality-network"	Vitality Network
solarian mastery	"feature:solarian-mastery"	Solarian Mastery
quantum field	"feature:quantum-field"	Quantum Field
soldier's resolution	"feature:soldiers-resolution"	Soldier's Resolution
focal point	"feature:focal-point"	Focal Point
perception mastery	"feature:perception-mastery"	Perception Mastery
rhythm	"feature:rhythm"	Rhythm
guns blazing	"feature:guns-blazing"	Guns Blazing
stellar attunement	"feature:stellar-attunement"	Stellar Attunement
shadow	"feature:shadow"	Shadow
mystic bond	"feature:mystic-bond"	Mystic Bond
legendary soldier	"feature:legendary-soldier"	Legendary Soldier
signature spells	"feature:signature-spells"	Signature Spells
critical aim	"feature:critical-aim"	Critical Aim
primary target	"feature:primary-target"	Primary Target
operative's specialization	"feature:operatives-specialization"	Operative's Specialization
soldier weapon mastery	"feature:soldier-weapon-mastery"	Soldier Weapon Mastery
spell repertoire	"feature:spell-repertoire"	Spell Repertoire
savvy improviser	"feature:savvy-improviser"	Savvy Improviser
improvised mastery	"feature:improvised-mastery"	Improvised Mastery
group chat	"feature:group-chat"	Group Chat
on the move	"feature:on-the-move"	On the Move
from the front	"feature:from-the-front"	From the Front
infiltrator	"feature:infiltrator"	Infiltrator
solar manifestations	"feature:solar-manifestations"	Solar Manifestations
fortitude expertise	"feature:fortitude-expertise"	Fortitude Expertise
armor expertise	"feature:armor-expertise"	Armor Expertise
legendary spellcaster	"feature:legendary-spellcaster"	Legendary Spellcaster
fearsome bulwark	"feature:fearsome-bulwark"	Fearsome Bulwark
master gunner	"feature:master-gunner"	Master Gunner
disciple of the cycle	"feat:disciple-of-the-cycle"	Disciple of the Cycle
legendary troll	"feat:legendary-troll"	Legendary Troll
burst fire	"feat:burst-fire"	Burst Fire
ancestral magic	"feat:ancestral-magic"	Ancestral Magic
chitterspam	"feat:chitterspam"	Chitterspam
night eyes	"feat:night-eyes"	Night Eyes
urban roots	"feat:urban-roots"	Urban Roots
combat climber	"feat:combat-climber"	Combat Climber
siphon solar vitality	"feat:siphon-solar-vitality"	Siphon Solar Vitality
szandite crystal scholar	"feat:szandite-crystal-scholar"	Szandite Crystal Scholar
legend weaver	"feat:legend-weaver"	Legend Weaver
snap shut	"feat:snap-shut"	Snap Shut
press your luck	"feat:press-your-luck"	Press Your Luck
widest field of view	"feat:widest-field-of-view-izalguun"	Widest Field of View (Izalguun)
infodump	"feat:infodump"	Infodump
soulfire	"feat:soulfire"	Soulfire
copaxi superstition	"feat:copaxi-superstition"	Copaxi Superstition
expanded expertise	"feat:expanded-expertise"	Expanded Expertise
strong swimmer	"feat:strong-swimmer"	Strong Swimmer
tenacious grip	"feat:tenacious-grip"	Tenacious Grip
izalraan hunter's shot	"feat:izalraan-hunters-shot"	Izalraan Hunter's Shot
the gift of glow	"feat:the-gift-of-glow"	The Gift of Glow
predatory trance	"feat:predatory-trance"	Predatory Trance
encode presence	"feat:encode-presence"	Encode Presence
unauthorized helldriver	"feat:unauthorized-helldriver"	Unauthorized Helldriver
surface strider	"feat:surface-strider"	Surface Strider
korasha self-perfection	"feat:korasha-self-perfection"	Korasha Self-Perfection
digital diversion	"feat:digital-diversion"	Digital Diversion
network of know-how	"feat:network-of-know-how"	Network of Know-How
battle focus	"feat:battle-focus"	Battle Focus
mind over matter	"feat:mind-over-matter"	Mind Over Matter
mental deflection	"feat:mental-deflection"	Mental Deflection
mother tongue	"feat:mother-tongue"	Mother Tongue
scatter thoughts	"feat:scatter-thoughts"	Scatter Thoughts
mission briefing	"feat:mission-briefing"	Mission Briefing
hold hands	"feat:hold-hands"	Hold Hands
scrub psyche	"feat:scrub-psyche"	Scrub Psyche
quick polyp repopulation	"feat:quick-polyp-repopulation"	Quick Polyp Repopulation
operative resiliency	"feat:operative-resiliency"	Operative Resiliency
home turf	"feat:home-turf"	Home Turf
expanded connection	"feat:expanded-connection"	Expanded Connection
child of the red planet	"feat:child-of-the-red-planet"	Child of the Red Planet
philosophical damnation	"feat:philosophical-damnation"	Philosophical Damnation
i can do better	"feat:i-can-do-better"	I Can Do Better
empathetic twitch	"feat:empathetic-twitch"	Empathetic Twitch
adhesive grip	"feat:adhesive-grip"	Adhesive Grip
1337 h@xx0r	"feat:1337-h-xx0r"	1337 H@Xx0R
mental override	"feat:mental-override"	Mental Override
heightened thoughtsense	"feat:heightened-thoughtsense"	Heightened Thoughtsense
got 'em	"feat:got-em"	Got 'Em
void sight	"feat:void-sight"	Void Sight
advanced first aid	"feat:advanced-first-aid"	Advanced First Aid
dubious knowledge	"feat:dubious-knowledge"	Dubious Knowledge
peacekeeper dedication	"feat:peacekeeper-dedication"	Peacekeeper Dedication
bug bite	"feat:bug-bite"	Bug Bite
seasoned	"feat:seasoned"	Seasoned
broadside charge	"feat:broadside-charge"	Broadside Charge
swoltrid	"feat:swoltrid"	Swoltrid
indecisive youth	"feat:indecisive-youth"	Indecisive Youth
red eye	"feat:red-eye"	Red Eye
rodnarth survivor	"feat:rodnarth-survivor"	Rodnarth Survivor
internal chemistry	"feat:internal-chemistry"	Internal Chemistry
flamespewer	"feat:flamespewer"	Flamespewer
ancestral communion	"feat:ancestral-communion"	Ancestral Communion
martial vocational training	"feat:martial-vocational-training"	Martial Vocational Training
scorching lifeblood	"feat:scorching-lifeblood"	Scorching Lifeblood
repository of divinity	"feat:repository-of-divinity"	Repository of Divinity
distant feint	"feat:distant-feint"	Distant Feint
too stubborn to die	"feat:too-stubborn-to-die"	Too Stubborn to Die
hidden identity	"feat:hidden-identity"	Hidden Identity
enhanced shell	"feat:enhanced-shell"	Enhanced Shell
uncanny wonder	"feat:uncanny-wonder"	Uncanny Wonder
solarian dedication	"feat:solarian-dedication"	Solarian Dedication
aggressive antlers	"feat:aggressive-antlers"	Aggressive Antlers
bullet typhoon	"feat:bullet-typhoon"	Bullet Typhoon
lush psychic	"feat:lush-psychic"	Lush Psychic
nondescript features	"feat:nondescript-features"	Nondescript Features
revivification protocol	"feat:revivification-protocol"	Revivification Protocol
android lore	"feat:android-lore"	Android Lore
four-armed copaxi	"feat:four-armed-copaxi"	Four-Armed Copaxi
shirren lore	"feat:shirren-lore"	Shirren Lore
could you repeat that?	"feat:could-you-repeat-that"	Could You Repeat That?
spiked exoskeleton	"feat:spiked-exoskeleton"	Spiked Exoskeleton
solar flare	"feat:solar-flare"	Solar Flare
heavy exoskeleton	"feat:heavy-exoskeleton"	Heavy Exoskeleton
it has pockets!	"feat:it-has-pockets"	It Has Pockets!
entangling mycelium	"feat:entangling-mycelium"	Entangling Mycelium
exceptional reach	"feat:exceptional-reach"	Exceptional Reach
spacewyrm slayer	"feat:spacewyrm-slayer"	Spacewyrm Slayer
take the wheel	"feat:take-the-wheel"	Take the Wheel
quick legs	"feat:quick-legs"	Quick Legs
true vulkari	"feat:true-vulkari"	True Vulkari
manifold harmonies	"feat:manifold-harmonies"	Manifold Harmonies
shed shell	"feat:shed-shell"	Shed Shell
thief's tale	"feat:thiefs-tale"	Thief's Tale
show of flame	"feat:show-of-flame"	Show of Flame
prime inheritor	"feat:prime-inheritor"	Prime Inheritor
serpentine scurry	"feat:serpentine-scurry"	Serpentine Scurry
elemental favor	"feat:elemental-favor"	Elemental Favor
at home in my body	"feat:at-home-in-my-body"	At Home In My Body
unstable flare	"feat:unstable-flare"	Unstable Flare
instinctive collaborator	"feat:instinctive-collaborator"	Instinctive Collaborator
gravity swipe	"feat:gravity-swipe"	Gravity Swipe
folded paradoxes	"feat:folded-paradoxes"	Folded Paradoxes
incredible initiative	"feat:incredible-initiative"	Incredible Initiative
spread the love	"feat:spread-the-love"	Spread the Love
dutiful adherence	"feat:dutiful-adherence"	Dutiful Adherence
rising to the challenge	"feat:rising-to-the-challenge"	Rising to the Challenge
quick recognition	"feat:quick-recognition"	Quick Recognition
you've got mail	"feat:youve-got-mail"	You've Got Mail
super soul!	"feat:super-soul"	Super Soul!
master witchwarper spellcasting	"feat:master-witchwarper-spellcasting"	Master Witchwarper Spellcasting
go to ground!	"feat:go-to-ground"	Go to Ground!
squirt blood	"feat:squirt-blood"	Squirt Blood
dragon's tenacity	"feat:dragons-tenacity"	Dragon's Tenacity
volosian spit	"feat:volosian-spit"	Volosian Spit
quick squeeze	"feat:quick-squeeze"	Quick Squeeze
star brand	"feat:star-brand"	Star Brand
xenodruid bond	"feat:xenodruid-bond"	Xenodruid Bond
weakening shot	"feat:weakening-shot"	Weakening Shot
pull into orbit	"feat:pull-into-orbit"	Pull Into Orbit
underfoot stampede!	"feat:underfoot-stampede"	Underfoot Stampede!
influence	"feat:influence"	Influence
energy consumption	"feat:energy-consumption"	Energy Consumption
conglobation	"feat:conglobation"	Conglobation
infernal bulwark	"feat:infernal-bulwark"	Infernal Bulwark
impressive storage	"feat:impressive-storage"	Impressive Storage
spine defense	"feat:spine-defense"	Spine Defense
magitech core	"feat:magitech-core"	Magitech Core
robust recovery	"feat:robust-recovery"	Robust Recovery
really get em!	"feat:really-get-em"	Really Get Em!
make a tiny target	"feat:make-a-tiny-target"	Make a Tiny Target
elusive target	"feat:elusive-target"	Elusive Target
ancestral skills	"feat:ancestral-skills"	Ancestral Skills
spongy but strong	"feat:spongy-but-strong"	Spongy But Strong
erudite strike	"feat:erudite-strike"	Erudite Strike
gravity surge	"feat:gravity-surge"	Gravity Surge
bring it on!	"feat:bring-it-on"	Bring it On!
for the queen!	"feat:for-the-queen"	For the Queen!
animal skins	"feat:animal-skins"	Animal Skins
forgotten in the crowd	"feat:forgotten-in-the-crowd"	Forgotten in the Crowd
meld with nature	"feat:meld-with-nature"	Meld with Nature
aspalasch worshipper	"feat:aspalasch-worshipper"	Aspalasch Worshipper
ready reload	"feat:ready-reload"	Ready Reload
overwhelming ego	"feat:overwhelming-ego"	Overwhelming Ego
ferocious recovery	"feat:ferocious-recovery"	Ferocious Recovery
down to the wire	"feat:down-to-the-wire"	Down to the Wire
legendary performer	"feat:legendary-performer"	Legendary Performer
underwater weapons expert	"feat:underwater-weapons-expert"	Underwater Weapons Expert
the ancestral wellspring overflows	"feat:the-ancestral-wellspring-overflows"	The Ancestral Wellspring Overflows
blend in	"feat:blend-in"	Blend In
voracious bite	"feat:voracious-bite"	Voracious Bite
perfect synergy	"feat:perfect-synergy"	Perfect Synergy
widen field of view	"feat:widen-field-of-view"	Widen Field of View
squishy cover	"feat:squishy-cover"	Squishy Cover
voidstrong	"feat:voidstrong"	Voidstrong
intestinal fortitude	"feat:intestinal-fortitude"	Intestinal Fortitude
hobnobber	"feat:hobnobber"	Hobnobber
orc kinship	"feat:orc-kinship"	Orc Kinship
shattering impact	"feat:shattering-impact"	Shattering Impact
living furnace	"feat:living-furnace"	Living Furnace
iomedae's sword	"feat:iomedaes-sword"	Iomedae's Sword
keep them in your sights	"feat:keep-them-in-your-sights"	Keep Them in Your Sights
muck trawler	"feat:muck-trawler"	Muck Trawler
corpsefolk lore	"feat:corpsefolk-lore"	Corpsefolk Lore
hero's perseverance	"feat:heros-perseverance"	Hero's Perseverance
network attunement	"feat:network-attunement"	Network Attunement
gifted mentor	"feat:gifted-mentor"	Gifted Mentor
terrain expertise	"feat:terrain-expertise"	Terrain Expertise
tactical bully	"feat:tactical-bully"	Tactical Bully
never again	"feat:never-again"	Never Again
land on your foe	"feat:land-on-your-foe"	Land on Your Foe
black hole	"feat:black-hole"	Black Hole
epitome of calm	"feat:epitome-of-calm"	Epitome of Calm
stubborn persistence	"feat:stubborn-persistence"	Stubborn Persistence
road roller	"feat:road-roller"	Road Roller
empathic conduit	"feat:empathic-conduit"	Empathic Conduit
speed of thought	"feat:speed-of-thought"	Speed of Thought
novel approach	"feat:novel-approach"	Novel Approach
a head for magic	"feat:a-head-for-magic"	A Head for Magic
nimble crawl	"feat:nimble-crawl"	Nimble Crawl
large reach	"feat:large-reach"	Large Reach
drug resistant	"feat:drug-resistant"	Drug Resistant
rebuke cataclysm	"feat:rebuke-cataclysm"	Rebuke Cataclysm
soldier dedication	"feat:soldier-dedication"	Soldier Dedication
instinctive telepath	"feat:instinctive-telepath"	Instinctive Telepath
song of whimsy	"feat:song-of-whimsy"	Song of Whimsy
designer orb	"feat:designer-orb"	Designer Orb
relentless aim	"feat:relentless-aim"	Relentless Aim
retch rally	"feat:retch-rally"	Retch Rally
molting metamorphosis	"feat:molting-metamorphosis"	Molting Metamorphosis
supernatural soothing	"feat:supernatural-soothing"	Supernatural Soothing
convert tempo	"feat:convert-tempo"	Convert Tempo
corporate warrior	"feat:corporate-warrior"	Corporate Warrior
defensive recollection	"feat:defensive-recollection"	Defensive Recollection
enlightened rivener	"feat:enlightened-rivener"	Enlightened Rivener
bargain hunter	"feat:bargain-hunter"	Bargain Hunter
expansive verse	"feat:expansive-verse"	Expansive Verse
hot ride	"feat:hot-ride"	Hot Ride
uncontrollable	"feat:uncontrollable"	Uncontrollable
visual static	"feat:visual-static"	Visual Static
coronal flare	"feat:coronal-flare"	Coronal Flare
anomalous provenance	"feat:anomalous-provenance"	Anomalous Provenance
smelling brain	"feat:smelling-brain"	Smelling Brain
watch out	"feat:watch-out"	Watch Out
seedling reincarnation	"feat:seedling-reincarnation"	Seedling Reincarnation
telekinetic ability	"feat:telekinetic-ability"	Telekinetic Ability
daredevil	"feat:daredevil"	Daredevil
double draw	"feat:double-draw"	Double Draw
slime spray	"feat:slime-spray"	Slime Spray
improv workshop	"feat:improv-workshop"	Improv Workshop
foul fragrance	"feat:foul-fragrance"	Foul Fragrance
infused spell	"feat:infused-spell"	Infused Spell
concentrated shot	"feat:concentrated-shot"	Concentrated Shot
bone shards	"feat:bone-shards"	Bone Shards
plant rumor	"feat:plant-rumor"	Plant Rumor
meyel's melody	"feat:meyels-melody"	Meyel's Melody
ancestral memory	"feat:ancestral-memory"	Ancestral Memory
no cause for alarm	"feat:no-cause-for-alarm"	No Cause for Alarm
expert guidance	"feat:expert-guidance"	Expert Guidance
cloaking field	"feat:cloaking-field"	Cloaking Field
song of my people	"feat:song-of-my-people"	Song of My People
uncanny comprehension	"feat:uncanny-comprehension"	Uncanny Comprehension
no! my baubles!	"feat:no-my-baubles"	No! My Baubles!
confabulator	"feat:confabulator"	Confabulator
unseen tides	"feat:unseen-tides"	Unseen Tides
let me try	"feat:let-me-try"	Let Me Try
offensive subroutine	"feat:offensive-subroutine"	Offensive Subroutine
well of vitality	"feat:well-of-vitality"	Well of Vitality
sanguine wellspring	"feat:sanguine-wellspring"	Sanguine Wellspring
psychic droning	"feat:psychic-droning"	Psychic Droning
follow-up fire	"feat:follow-up-fire"	Follow-Up Fire
shocking howl	"feat:shocking-howl"	Shocking Howl
two minds, one soul	"feat:two-minds-one-soul"	Two Minds, One Soul
soft paw, sharp claw	"feat:soft-paw-sharp-claw"	Soft Paw, Sharp Claw
electrical shielding	"feat:electrical-shielding"	Electrical Shielding
sheltering mucous	"feat:sheltering-mucous"	Sheltering Mucous
transcended existence	"feat:transcended-existence"	Transcended Existence
genetic guise	"feat:genetic-guise"	Genetic Guise
lasting coercion	"feat:lasting-coercion"	Lasting Coercion
mire tracker	"feat:mire-tracker"	Mire Tracker
supernova	"feat:supernova"	Supernova
starfinder provisions	"feat:starfinder-provisions"	Starfinder Provisions
efficient analysis	"feat:efficient-analysis"	Efficient Analysis
universal translator	"feat:universal-translator"	Universal Translator
instinctive hold	"feat:instinctive-hold"	Instinctive Hold
percussive maintenance	"feat:percussive-maintenance"	Percussive Maintenance
sidestep	"feat:sidestep"	Sidestep
climbing claws	"feat:climbing-claws"	Climbing Claws
quick unlock	"feat:quick-unlock"	Quick Unlock
nictitating membrane	"feat:nictitating-membrane"	Nictitating Membrane
warmount shell	"feat:warmount-shell"	Warmount Shell
glide	"feat:glide"	Glide
fascinating performance	"feat:fascinating-performance"	Fascinating Performance
triune's chosen	"feat:triunes-chosen"	Triune's Chosen
picklecore music	"feat:picklecore-music"	Picklecore Music
formian biotoxin	"feat:formian-biotoxin"	Formian Biotoxin
shifter's feint	"feat:shifters-feint"	Shifter's Feint
dive bomb	"feat:dive-bomb"	Dive Bomb
dead nerves	"feat:dead-nerves"	Dead Nerves
expand mental network	"feat:expand-mental-network"	Expand Mental Network
ready for trouble	"feat:ready-for-trouble"	Ready For Trouble
sprinter	"feat:sprinter"	Sprinter
czelle survivalist	"feat:czelle-survivalist"	Czelle Survivalist
durable imas	"feat:durable-imas"	Durable IMAS
glow painter	"feat:glow-painter"	Glow Painter
mystic dedication	"feat:mystic-dedication"	Mystic Dedication
flame belch	"feat:flame-belch"	Flame Belch
stellar rush	"feat:stellar-rush"	Stellar Rush
basic leadership	"feat:basic-leadership"	Basic Leadership
practiced professional	"feat:practiced-professional"	Practiced Professional
damoritosh's grip	"feat:damoritoshs-grip"	Damoritosh's Grip
corrosive venting	"feat:corrosive-venting"	Corrosive Venting
coming through!	"feat:coming-through"	Coming Through!
soldier's resiliency	"feat:soldiers-resiliency"	Soldier's Resiliency
hammer the nail	"feat:hammer-the-nail"	Hammer the Nail
restorative shapeshifting	"feat:restorative-shapeshifting"	Restorative Shapeshifting
switch target	"feat:switch-target"	Switch Target
predict outcome	"feat:predict-outcome"	Predict Outcome
uncanny knowledge	"feat:uncanny-knowledge"	Uncanny Knowledge
improved storage	"feat:improved-storage"	Improved Storage
master plan	"feat:master-plan"	Master Plan
take 'em alive!	"feat:take-em-alive"	Take 'Em Alive!
peacekeeper’s armory	"feat:peacekeepers-armory"	Peacekeeper’s Armory
reflexive hypotheses	"feat:reflexive-hypotheses"	Reflexive Hypotheses
grouchy nature	"feat:grouchy-nature"	Grouchy Nature
well-connected	"feat:well-connected"	Well-Connected
intimidating taunt	"feat:intimidating-taunt"	Intimidating Taunt
connected to the cosmos	"feat:connected-to-the-cosmos"	Connected to the Cosmos
adorable face	"feat:adorable-face"	Adorable Face
the harder they fall	"feat:the-harder-they-fall"	The Harder They Fall
reactive flicker	"feat:reactive-flicker"	Reactive Flicker
triple jump	"feat:triple-jump"	Triple Jump
run, cowards!	"feat:run-cowards"	Run, Cowards!
prop closet	"feat:prop-closet"	Prop Closet
unbound self-perfection	"feat:unbound-self-perfection"	Unbound Self-Perfection
life preserver	"feat:life-preserver"	Life Preserver
unstable overdrive	"feat:unstable-overdrive"	Unstable Overdrive
space pirate dedication	"feat:space-pirate-dedication"	Space Pirate Dedication
labyrinthine mind	"feat:labyrinthine-mind"	Labyrinthine Mind
ward medic	"feat:ward-medic"	Ward Medic
consume flesh	"feat:consume-flesh"	Consume Flesh
loosed psychic	"feat:loosed-psychic"	Loosed Psychic
drop tail	"feat:drop-tail"	Drop Tail
forager	"feat:forager"	Forager
vulkari spell decipher	"feat:vulkari-spell-decipher"	Vulkari Spell Decipher
void blood	"feat:void-blood"	Void Blood
adapted underwater brawler	"feat:adapted-underwater-brawler"	Adapted Underwater Brawler
tectonic tactician	"feat:tectonic-tactician"	Tectonic Tactician
kill steal	"feat:kill-steal"	Kill Steal
offensive defense	"feat:offensive-defense"	Offensive Defense
burn up	"feat:burn-up"	Burn Up
shared reverb	"feat:shared-reverb"	Shared Reverb
summerborn awakening	"feat:summerborn-awakening"	Summerborn Awakening
aerial master	"feat:aerial-master"	Aerial Master
adat training	"feat:adat-training"	Adat Training
baleful presence	"feat:baleful-presence"	Baleful Presence
delve memories	"feat:delve-memories"	Delve Memories
vector reflector	"feat:vector-reflector"	Vector Reflector
capture laser	"feat:capture-laser"	Capture Laser
covering flare	"feat:covering-flare"	Covering Flare
bullet fever	"feat:bullet-fever"	Bullet Fever
barricade	"feat:barricade"	Barricade
adrenaline rush	"feat:adrenaline-rush"	Adrenaline Rush
entu spore cloud	"feat:entu-spore-cloud"	Entu Spore Cloud
nonlethal force	"feat:nonlethal-force"	Nonlethal Force
underwater combatant	"feat:underwater-combatant"	Underwater Combatant
untrained improvisation	"feat:untrained-improvisation"	Untrained Improvisation
blood-tinged attack	"feat:blood-tinged-attack"	Blood-Tinged Attack
bizarre magic	"feat:bizarre-magic"	Bizarre Magic
delegate	"feat:delegate"	Delegate
inexorable	"feat:inexorable"	Inexorable
strobe master	"feat:strobe-master"	Strobe Master
basic mysticism	"feat:basic-mysticism"	Basic Mysticism
pinpoint thoughtsense	"feat:pinpoint-thoughtsense"	Pinpoint Thoughtsense
community raft	"feat:community-raft"	Community Raft
legendary negotiation	"feat:legendary-negotiation"	Legendary Negotiation
razor scrap	"feat:razor-scrap"	Razor Scrap
sanctified shell	"feat:sanctified-shell"	Sanctified Shell
expanded senses	"feat:expanded-senses"	Expanded Senses
life bond	"feat:life-bond"	Life Bond
advanced atmospheric flight	"feat:advanced-atmospheric-flight"	Advanced Atmospheric Flight
eyes open	"feat:eyes-open"	Eyes Open
deconstruction	"feat:deconstruction"	Deconstruction
bond spell	"feat:bond-spell"	Bond Spell
quick repair	"feat:quick-repair"	Quick Repair
encyclopedic recall	"feat:encyclopedic-recall"	Encyclopedic Recall
greater unleashed anger	"feat:greater-unleashed-anger"	Greater Unleashed Anger
gnarefuroid lore	"feat:gnarefuroid-lore"	Gnarefuroid Lore
sarcesian lore	"feat:sarcesian-lore"	Sarcesian Lore
sensitive antennae	"feat:sensitive-antennae"	Sensitive Antennae
dead worlds	"feat:dead-worlds"	Dead Worlds
glimpse the pattern	"feat:glimpse-the-pattern"	Glimpse the Pattern
broken hand technique	"feat:broken-hand-technique"	Broken Hand Technique
called to help	"feat:called-to-help"	Called to Help
monstrous frenzy	"feat:monstrous-frenzy"	Monstrous Frenzy
toughness	"feat:toughness"	Toughness
cyclone	"feat:cyclone"	Cyclone
stretchy strike	"feat:stretchy-strike"	Stretchy Strike
sacrificial shell	"feat:sacrificial-shell-gnarefuroid"	Sacrificial Shell (Gnarefuroid)
tech familiarity	"feat:tech-familiarity"	Tech Familiarity
caustic trail	"feat:caustic-trail"	Caustic Trail
breach	"feat:breach"	Breach
four-armed climber	"feat:four-armed-climber"	Four-Armed Climber
ikeshti lore	"feat:ikeshti-lore"	Ikeshti Lore
tunnel vision	"feat:tunnel-vision"	Tunnel Vision
widen area	"feat:widen-area"	Widen Area
charming liar	"feat:charming-liar"	Charming Liar
absorb vibe	"feat:absorb-vibe"	Absorb Vibe
basic gunner	"feat:basic-gunner"	Basic Gunner
new epiphany	"feat:new-epiphany"	New Epiphany
mighty membranes	"feat:mighty-membranes"	Mighty Membranes
muzzle flash	"feat:muzzle-flash"	Muzzle Flash
cut 'em deep	"feat:cut-em-deep"	Cut 'Em Deep
advanced mysticism	"feat:advanced-mysticism"	Advanced Mysticism
reliable expert	"feat:reliable-expert"	Reliable Expert
never a step wrong	"feat:never-a-step-wrong"	Never A Step Wrong
fastest route	"feat:fastest-route"	Fastest Route
cue the music	"feat:cue-the-music"	Cue the Music
shifter's shove	"feat:shifters-shove"	Shifter's Shove
drop and move	"feat:drop-and-move"	Drop and Move
